1	A	AGRICULTURE, FORESTRY AND FISHING	 
2	01	Crop and animal production, hunting and related service activities	 
3	01.1	Growing of non-perennial crops	 
4	01.11	Growing of cereals (except rice), leguminous crops and oil seeds	0111
5	01.11.0	Growing of cereals (except rice), leguminous crops and oil seeds	
6	01.12	Growing of rice	0112
7	01.12.0	Growing of rice	
8	01.13	Growing of vegetables and melons, roots and tubers	0113
9	01.13.1	Growing of vegetables and melons	
10	01.13.2	Growing of potatoes and other roots and tubers	
11	01.14	Growing of sugar cane	0114
12	01.14.0	Growing of sugar cane	
13	01.15	Growing of tobacco	0115
14	01.15.0	Growing of tobacco	
15	01.16	Growing of fibre crops	0116
16	01.16.0	Growing of fibre crops	
17	01.19	Growing of other non-perennial crops	0119
18	01.19.1	Growing of ornamental plants for cutting	
19	01.19.2	Growing of flower seeds	
20	01.19.9	Growing of other non-perennial crops n.e.c.	
21	01.2	Growing of perennial crops	 
22	01.21	Growing of grapes	0121
23	01.21.0	Growing of grapes	
24	01.22	Growing of tropical and subtropical fruits	0122
25	01.22.0	Growing of tropical and subtropical fruits	
26	01.23	Growing of citrus fruits	0123
27	01.23.0	Growing of citrus fruits	
28	01.24	Growing of pome fruits and stone fruits	0124
29	01.24.0	Growing of pome fruits and stone fruits	
30	01.25	Growing of other tree and bush fruits and nuts	0125
31	01.25.1	Growing of strawberries	
32	01.25.9	Growing of other tree and bush fruits (except strawberries) and nuts	
33	01.26	Growing of oleaginous fruits	0126
34	01.26.0	Growing of oleaginous fruits	
35	01.27	Growing of beverage crops	0127
36	01.27.0	Growing of beverage crops	
37	01.28	Growing of spices, aromatic, drug and pharmaceutical crops	0128
38	01.28.0	Growing of spices, aromatic, drug and pharmaceutical crops	
39	01.29	Growing of other perennial crops	0129
40	01.29.0	Growing of other perennial crops	
41	01.3	Plant propagation	 
42	01.30	Plant propagation	0130
43	01.30.1	Growing of indoor and outdoor plants	
44	01.30.2	Operation of tree nurseries	
45	01.4	Animal production	 
46	01.41	Raising of dairy cattle	0141*
47	01.41.0	Raising of dairy cattle	
48	01.42	Raising of other cattle and buffaloes	0141*
49	01.42.0	Raising of other cattle and buffaloes	
50	01.43	Raising of horses and other equines	0142
51	01.43.0	Raising of horses and other equines	
52	01.44	Raising of camels and camelids	0143
53	01.44.0	Raising of camels and camelids	
54	01.45	Raising of sheep and goats	0144
55	01.45.0	Raising of sheep and goats	
56	01.46	Raising of swine/pigs	0145
57	01.46.0	Raising of swine/pigs	
58	01.47	Raising of poultry	0146
59	01.47.1	Raising of layers to produce eggs for consumption	
60	01.47.2	Operation of poultry hatcheries	
61	01.47.9	Raising of other productive poultry	
62	01.49	Raising of other animals	0149
63	01.49.0	Raising of other animals	
64	01.5	Mixed farming	 
65	01.50	Mixed farming	0150
66	01.50.0	Mixed farming	
67	01.6	Support activities to agriculture and post-harvest crop activities	 
68	01.61	Support activities for crop production	0161
69	01.61.0	Support activities for crop production	
70	01.62	Support activities for animal production	0162
71	01.62.0	Support activities for animal production	
72	01.63	Post-harvest crop activities	0163
73	01.63.0	Post-harvest crop activities	
74	01.64	Seed processing for propagation	0164
75	01.64.0	Seed processing for propagation	
76	01.7	Hunting, trapping and related service activities	 
77	01.70	Hunting, trapping and related service activities	0170
78	01.70.0	Hunting, trapping and related service activities	
79	02	Forestry and logging	 
80	02.1	Silviculture and other forestry activities	 
81	02.10	Silviculture and other forestry activities	0210
82	02.10.0	Silviculture and other forestry activities	
83	02.2	Logging	 
84	02.20	Logging	0220
